span1,span2,sentence,answer
sopranino clarinet,soprano trombone,The sound of sopranino clarinet is [MASK] than the sound of soprano trombone,higher
sopranino clarinet,cimbasso,The sound of sopranino clarinet is [MASK] than the sound of cimbasso,higher
sopranino clarinet,french horn,The sound of sopranino clarinet is [MASK] than the sound of french horn,higher
sopranino clarinet,baritone horn,The sound of sopranino clarinet is [MASK] than the sound of baritone horn,higher
sopranino clarinet,alto horn,The sound of sopranino clarinet is [MASK] than the sound of alto horn,higher
sopranino clarinet,flugelhorn,The sound of sopranino clarinet is [MASK] than the sound of flugelhorn,higher
sopranino clarinet,bass wagner tuba,The sound of sopranino clarinet is [MASK] than the sound of bass wagner tuba,higher
sopranino clarinet,tenor wagner tuba,The sound of sopranino clarinet is [MASK] than the sound of tenor wagner tuba,higher
sopranino clarinet,bass trumpet,The sound of sopranino clarinet is [MASK] than the sound of bass trumpet,higher
sopranino clarinet,cornet,The sound of sopranino clarinet is [MASK] than the sound of cornet,higher
sopranino clarinet,trumpet,The sound of sopranino clarinet is [MASK] than the sound of trumpet,higher
sopranino clarinet,timpani 32inch,The sound of sopranino clarinet is [MASK] than the sound of timpani 32inch,higher
sopranino clarinet,timpani 29inch,The sound of sopranino clarinet is [MASK] than the sound of timpani 29inch,higher
sopranino clarinet,timpani 26inch,The sound of sopranino clarinet is [MASK] than the sound of timpani 26inch,higher
sopranino clarinet,timpani 23inch,The sound of sopranino clarinet is [MASK] than the sound of timpani 23inch,higher
sopranino clarinet,timpani 20inch,The sound of sopranino clarinet is [MASK] than the sound of timpani 20inch,higher
sopranino clarinet,vibraphone,The sound of sopranino clarinet is [MASK] than the sound of vibraphone,higher
sopranino clarinet,crotales,The sound of sopranino clarinet is [MASK] than the sound of crotales,lower
sopranino clarinet,tubular bells,The sound of sopranino clarinet is [MASK] than the sound of tubular bells,higher
sopranino clarinet,gong,The sound of sopranino clarinet is [MASK] than the sound of gong,higher
subcontrabass saxophone,bass saxophone,The sound of subcontrabass saxophone is [MASK] than the sound of bass saxophone,lower
subcontrabass saxophone,baritone saxophone,The sound of subcontrabass saxophone is [MASK] than the sound of baritone saxophone,lower
subcontrabass saxophone,tenor saxophone,The sound of subcontrabass saxophone is [MASK] than the sound of tenor saxophone,lower
subcontrabass saxophone,alto saxophone,The sound of subcontrabass saxophone is [MASK] than the sound of alto saxophone,lower
subcontrabass saxophone,soprano saxophone,The sound of subcontrabass saxophone is [MASK] than the sound of soprano saxophone,lower
subcontrabass saxophone,sopranino saxophone,The sound of subcontrabass saxophone is [MASK] than the sound of sopranino saxophone,lower
subcontrabass saxophone,sopranissimo saxophone,The sound of subcontrabass saxophone is [MASK] than the sound of sopranissimo saxophone,lower
subcontrabass saxophone,harmonium,The sound of subcontrabass saxophone is [MASK] than the sound of harmonium,lower
subcontrabass saxophone,accordion,The sound of subcontrabass saxophone is [MASK] than the sound of accordion,lower
subcontrabass saxophone,16-hole harmonica,The sound of subcontrabass saxophone is [MASK] than the sound of 16-hole harmonica,lower
subcontrabass saxophone,typical C harmonica,The sound of subcontrabass saxophone is [MASK] than the sound of typical C harmonica,lower
subcontrabass saxophone,subcontrabass flute,The sound of subcontrabass saxophone is [MASK] than the sound of subcontrabass flute,lower
subcontrabass saxophone,contrabass flute,The sound of subcontrabass saxophone is [MASK] than the sound of contrabass flute,lower
subcontrabass saxophone,contra-alto flute,The sound of subcontrabass saxophone is [MASK] than the sound of contra-alto flute,lower
subcontrabass saxophone,bass flute,The sound of subcontrabass saxophone is [MASK] than the sound of bass flute,lower
subcontrabass saxophone,alto flute,The sound of subcontrabass saxophone is [MASK] than the sound of alto flute,lower
subcontrabass saxophone,flute,The sound of subcontrabass saxophone is [MASK] than the sound of flute,lower
subcontrabass saxophone,piccolo,The sound of subcontrabass saxophone is [MASK] than the sound of piccolo,lower
subcontrabass saxophone,sub-great bass recorder,The sound of subcontrabass saxophone is [MASK] than the sound of sub-great bass recorder,lower
subcontrabass saxophone,contrabass recorder,The sound of subcontrabass saxophone is [MASK] than the sound of contrabass recorder,lower
subcontrabass saxophone,great bass recorder,The sound of subcontrabass saxophone is [MASK] than the sound of great bass recorder,lower
subcontrabass saxophone,bass recorder,The sound of subcontrabass saxophone is [MASK] than the sound of bass recorder,lower
subcontrabass saxophone,tenor recorder,The sound of subcontrabass saxophone is [MASK] than the sound of tenor recorder,lower
subcontrabass saxophone,alto recorder,The sound of subcontrabass saxophone is [MASK] than the sound of alto recorder,lower
subcontrabass saxophone,soprano recorder,The sound of subcontrabass saxophone is [MASK] than the sound of soprano recorder,lower
subcontrabass saxophone,sopranino recorder,The sound of subcontrabass saxophone is [MASK] than the sound of sopranino recorder,lower
subcontrabass saxophone,garklein recorder,The sound of subcontrabass saxophone is [MASK] than the sound of garklein recorder,lower
subcontrabass saxophone,contrabass tuba,The sound of subcontrabass saxophone is [MASK] than the sound of contrabass tuba,lower
subcontrabass saxophone,bass tuba,The sound of subcontrabass saxophone is [MASK] than the sound of bass tuba,lower
subcontrabass saxophone,euphonium,The sound of subcontrabass saxophone is [MASK] than the sound of euphonium,lower
subcontrabass saxophone,bass trombone,The sound of subcontrabass saxophone is [MASK] than the sound of bass trombone,lower
subcontrabass saxophone,tenor trombone,The sound of subcontrabass saxophone is [MASK] than the sound of tenor trombone,lower
subcontrabass saxophone,alto trombone,The sound of subcontrabass saxophone is [MASK] than the sound of alto trombone,lower
subcontrabass saxophone,soprano trombone,The sound of subcontrabass saxophone is [MASK] than the sound of soprano trombone,lower
subcontrabass saxophone,sopranino trombone,The sound of subcontrabass saxophone is [MASK] than the sound of sopranino trombone,lower
subcontrabass saxophone,piccolo trombone,The sound of subcontrabass saxophone is [MASK] than the sound of piccolo trombone,lower
subcontrabass saxophone,cimbasso,The sound of subcontrabass saxophone is [MASK] than the sound of cimbasso,lower
subcontrabass saxophone,french horn,The sound of subcontrabass saxophone is [MASK] than the sound of french horn,lower
subcontrabass saxophone,baritone horn,The sound of subcontrabass saxophone is [MASK] than the sound of baritone horn,lower
subcontrabass saxophone,alto horn,The sound of subcontrabass saxophone is [MASK] than the sound of alto horn,lower
subcontrabass saxophone,flugelhorn,The sound of subcontrabass saxophone is [MASK] than the sound of flugelhorn,lower
subcontrabass saxophone,bass wagner tuba,The sound of subcontrabass saxophone is [MASK] than the sound of bass wagner tuba,lower
subcontrabass saxophone,tenor wagner tuba,The sound of subcontrabass saxophone is [MASK] than the sound of tenor wagner tuba,lower
subcontrabass saxophone,bass trumpet,The sound of subcontrabass saxophone is [MASK] than the sound of bass trumpet,lower
subcontrabass saxophone,cornet,The sound of subcontrabass saxophone is [MASK] than the sound of cornet,lower
subcontrabass saxophone,trumpet,The sound of subcontrabass saxophone is [MASK] than the sound of trumpet,lower
subcontrabass saxophone,piccolo trumpet,The sound of subcontrabass saxophone is [MASK] than the sound of piccolo trumpet,lower
subcontrabass saxophone,timpani 26inch,The sound of subcontrabass saxophone is [MASK] than the sound of timpani 26inch,lower
subcontrabass saxophone,timpani 23inch,The sound of subcontrabass saxophone is [MASK] than the sound of timpani 23inch,lower
subcontrabass saxophone,timpani 20inch,The sound of subcontrabass saxophone is [MASK] than the sound of timpani 20inch,lower
subcontrabass saxophone,marimba,The sound of subcontrabass saxophone is [MASK] than the sound of marimba,lower
subcontrabass saxophone,xylophone,The sound of subcontrabass saxophone is [MASK] than the sound of xylophone,lower
subcontrabass saxophone,celesta,The sound of subcontrabass saxophone is [MASK] than the sound of celesta,lower
subcontrabass saxophone,vibraphone,The sound of subcontrabass saxophone is [MASK] than the sound of vibraphone,lower
subcontrabass saxophone,glockenspiel,The sound of subcontrabass saxophone is [MASK] than the sound of glockenspiel,lower
subcontrabass saxophone,crotales,The sound of subcontrabass saxophone is [MASK] than the sound of crotales,lower
subcontrabass saxophone,tubular bells,The sound of subcontrabass saxophone is [MASK] than the sound of tubular bells,lower
subcontrabass saxophone,gong,The sound of subcontrabass saxophone is [MASK] than the sound of gong,lower
contrabass saxophone,baritone saxophone,The sound of contrabass saxophone is [MASK] than the sound of baritone saxophone,lower
contrabass saxophone,tenor saxophone,The sound of contrabass saxophone is [MASK] than the sound of tenor saxophone,lower
contrabass saxophone,alto saxophone,The sound of contrabass saxophone is [MASK] than the sound of alto saxophone,lower
contrabass saxophone,soprano saxophone,The sound of contrabass saxophone is [MASK] than the sound of soprano saxophone,lower
contrabass saxophone,sopranino saxophone,The sound of contrabass saxophone is [MASK] than the sound of sopranino saxophone,lower
contrabass saxophone,sopranissimo saxophone,The sound of contrabass saxophone is [MASK] than the sound of sopranissimo saxophone,lower
contrabass saxophone,harmonium,The sound of contrabass saxophone is [MASK] than the sound of harmonium,lower
contrabass saxophone,accordion,The sound of contrabass saxophone is [MASK] than the sound of accordion,lower
contrabass saxophone,16-hole harmonica,The sound of contrabass saxophone is [MASK] than the sound of 16-hole harmonica,lower
contrabass saxophone,typical C harmonica,The sound of contrabass saxophone is [MASK] than the sound of typical C harmonica,lower
contrabass saxophone,contrabass flute,The sound of contrabass saxophone is [MASK] than the sound of contrabass flute,lower
contrabass saxophone,contra-alto flute,The sound of contrabass saxophone is [MASK] than the sound of contra-alto flute,lower
contrabass saxophone,bass flute,The sound of contrabass saxophone is [MASK] than the sound of bass flute,lower
contrabass saxophone,alto flute,The sound of contrabass saxophone is [MASK] than the sound of alto flute,lower
contrabass saxophone,flute,The sound of contrabass saxophone is [MASK] than the sound of flute,lower
contrabass saxophone,piccolo,The sound of contrabass saxophone is [MASK] than the sound of piccolo,lower
contrabass saxophone,sub-great bass recorder,The sound of contrabass saxophone is [MASK] than the sound of sub-great bass recorder,lower
contrabass saxophone,contrabass recorder,The sound of contrabass saxophone is [MASK] than the sound of contrabass recorder,lower
contrabass saxophone,great bass recorder,The sound of contrabass saxophone is [MASK] than the sound of great bass recorder,lower
contrabass saxophone,bass recorder,The sound of contrabass saxophone is [MASK] than the sound of bass recorder,lower
contrabass saxophone,tenor recorder,The sound of contrabass saxophone is [MASK] than the sound of tenor recorder,lower
contrabass saxophone,alto recorder,The sound of contrabass saxophone is [MASK] than the sound of alto recorder,lower
contrabass saxophone,soprano recorder,The sound of contrabass saxophone is [MASK] than the sound of soprano recorder,lower
contrabass saxophone,sopranino recorder,The sound of contrabass saxophone is [MASK] than the sound of sopranino recorder,lower
contrabass saxophone,garklein recorder,The sound of contrabass saxophone is [MASK] than the sound of garklein recorder,lower
contrabass saxophone,bass tuba,The sound of contrabass saxophone is [MASK] than the sound of bass tuba,lower
contrabass saxophone,euphonium,The sound of contrabass saxophone is [MASK] than the sound of euphonium,lower
contrabass saxophone,bass trombone,The sound of contrabass saxophone is [MASK] than the sound of bass trombone,lower
contrabass saxophone,tenor trombone,The sound of contrabass saxophone is [MASK] than the sound of tenor trombone,lower
contrabass saxophone,alto trombone,The sound of contrabass saxophone is [MASK] than the sound of alto trombone,lower
contrabass saxophone,soprano trombone,The sound of contrabass saxophone is [MASK] than the sound of soprano trombone,lower
contrabass saxophone,sopranino trombone,The sound of contrabass saxophone is [MASK] than the sound of sopranino trombone,lower
contrabass saxophone,piccolo trombone,The sound of contrabass saxophone is [MASK] than the sound of piccolo trombone,lower
contrabass saxophone,french horn,The sound of contrabass saxophone is [MASK] than the sound of french horn,lower
contrabass saxophone,baritone horn,The sound of contrabass saxophone is [MASK] than the sound of baritone horn,lower
contrabass saxophone,alto horn,The sound of contrabass saxophone is [MASK] than the sound of alto horn,lower
contrabass saxophone,flugelhorn,The sound of contrabass saxophone is [MASK] than the sound of flugelhorn,lower
contrabass saxophone,bass wagner tuba,The sound of contrabass saxophone is [MASK] than the sound of bass wagner tuba,lower
contrabass saxophone,tenor wagner tuba,The sound of contrabass saxophone is [MASK] than the sound of tenor wagner tuba,lower
contrabass saxophone,bass trumpet,The sound of contrabass saxophone is [MASK] than the sound of bass trumpet,lower
contrabass saxophone,cornet,The sound of contrabass saxophone is [MASK] than the sound of cornet,lower
contrabass saxophone,trumpet,The sound of contrabass saxophone is [MASK] than the sound of trumpet,lower
contrabass saxophone,piccolo trumpet,The sound of contrabass saxophone is [MASK] than the sound of piccolo trumpet,lower
contrabass saxophone,timpani 32inch,The sound of contrabass saxophone is [MASK] than the sound of timpani 32inch,higher
contrabass saxophone,timpani 23inch,The sound of contrabass saxophone is [MASK] than the sound of timpani 23inch,lower
contrabass saxophone,timpani 20inch,The sound of contrabass saxophone is [MASK] than the sound of timpani 20inch,lower
contrabass saxophone,marimba,The sound of contrabass saxophone is [MASK] than the sound of marimba,lower
contrabass saxophone,xylophone,The sound of contrabass saxophone is [MASK] than the sound of xylophone,lower
contrabass saxophone,celesta,The sound of contrabass saxophone is [MASK] than the sound of celesta,lower
contrabass saxophone,vibraphone,The sound of contrabass saxophone is [MASK] than the sound of vibraphone,lower
contrabass saxophone,glockenspiel,The sound of contrabass saxophone is [MASK] than the sound of glockenspiel,lower
contrabass saxophone,crotales,The sound of contrabass saxophone is [MASK] than the sound of crotales,lower
contrabass saxophone,tubular bells,The sound of contrabass saxophone is [MASK] than the sound of tubular bells,lower
contrabass saxophone,gong,The sound of contrabass saxophone is [MASK] than the sound of gong,lower
bass saxophone,tenor saxophone,The sound of bass saxophone is [MASK] than the sound of tenor saxophone,lower
bass saxophone,alto saxophone,The sound of bass saxophone is [MASK] than the sound of alto saxophone,lower
bass saxophone,soprano saxophone,The sound of bass saxophone is [MASK] than the sound of soprano saxophone,lower
bass saxophone,sopranino saxophone,The sound of bass saxophone is [MASK] than the sound of sopranino saxophone,lower
bass saxophone,sopranissimo saxophone,The sound of bass saxophone is [MASK] than the sound of sopranissimo saxophone,lower
bass saxophone,harmonium,The sound of bass saxophone is [MASK] than the sound of harmonium,lower
bass saxophone,accordion,The sound of bass saxophone is [MASK] than the sound of accordion,lower
bass saxophone,16-hole harmonica,The sound of bass saxophone is [MASK] than the sound of 16-hole harmonica,lower
bass saxophone,typical C harmonica,The sound of bass saxophone is [MASK] than the sound of typical C harmonica,lower
bass saxophone,hyperbass flute,The sound of bass saxophone is [MASK] than the sound of hyperbass flute,higher
bass saxophone,contra-alto flute,The sound of bass saxophone is [MASK] than the sound of contra-alto flute,lower
bass saxophone,bass flute,The sound of bass saxophone is [MASK] than the sound of bass flute,lower
bass saxophone,alto flute,The sound of bass saxophone is [MASK] than the sound of alto flute,lower
bass saxophone,flute,The sound of bass saxophone is [MASK] than the sound of flute,lower
bass saxophone,piccolo,The sound of bass saxophone is [MASK] than the sound of piccolo,lower
bass saxophone,great bass recorder,The sound of bass saxophone is [MASK] than the sound of great bass recorder,lower
bass saxophone,bass recorder,The sound of bass saxophone is [MASK] than the sound of bass recorder,lower
bass saxophone,tenor recorder,The sound of bass saxophone is [MASK] than the sound of tenor recorder,lower
bass saxophone,alto recorder,The sound of bass saxophone is [MASK] than the sound of alto recorder,lower
bass saxophone,soprano recorder,The sound of bass saxophone is [MASK] than the sound of soprano recorder,lower
bass saxophone,sopranino recorder,The sound of bass saxophone is [MASK] than the sound of sopranino recorder,lower
bass saxophone,garklein recorder,The sound of bass saxophone is [MASK] than the sound of garklein recorder,lower
bass saxophone,subcontrabass tuba,The sound of bass saxophone is [MASK] than the sound of subcontrabass tuba,higher
bass saxophone,euphonium,The sound of bass saxophone is [MASK] than the sound of euphonium,lower
bass saxophone,tenor trombone,The sound of bass saxophone is [MASK] than the sound of tenor trombone,lower
bass saxophone,alto trombone,The sound of bass saxophone is [MASK] than the sound of alto trombone,lower
bass saxophone,soprano trombone,The sound of bass saxophone is [MASK] than the sound of soprano trombone,lower
bass saxophone,sopranino trombone,The sound of bass saxophone is [MASK] than the sound of sopranino trombone,lower
bass saxophone,piccolo trombone,The sound of bass saxophone is [MASK] than the sound of piccolo trombone,lower
bass saxophone,french horn,The sound of bass saxophone is [MASK] than the sound of french horn,lower
bass saxophone,baritone horn,The sound of bass saxophone is [MASK] than the sound of baritone horn,lower
bass saxophone,alto horn,The sound of bass saxophone is [MASK] than the sound of alto horn,lower
bass saxophone,flugelhorn,The sound of bass saxophone is [MASK] than the sound of flugelhorn,lower
bass saxophone,tenor wagner tuba,The sound of bass saxophone is [MASK] than the sound of tenor wagner tuba,lower
bass saxophone,bass trumpet,The sound of bass saxophone is [MASK] than the sound of bass trumpet,lower
bass saxophone,cornet,The sound of bass saxophone is [MASK] than the sound of cornet,lower
bass saxophone,trumpet,The sound of bass saxophone is [MASK] than the sound of trumpet,lower
bass saxophone,piccolo trumpet,The sound of bass saxophone is [MASK] than the sound of piccolo trumpet,lower
bass saxophone,timpani 32inch,The sound of bass saxophone is [MASK] than the sound of timpani 32inch,higher
bass saxophone,timpani 29inch,The sound of bass saxophone is [MASK] than the sound of timpani 29inch,higher
bass saxophone,timpani 26inch,The sound of bass saxophone is [MASK] than the sound of timpani 26inch,higher
bass saxophone,marimba,The sound of bass saxophone is [MASK] than the sound of marimba,lower
bass saxophone,xylophone,The sound of bass saxophone is [MASK] than the sound of xylophone,lower
bass saxophone,celesta,The sound of bass saxophone is [MASK] than the sound of celesta,lower
bass saxophone,vibraphone,The sound of bass saxophone is [MASK] than the sound of vibraphone,lower
bass saxophone,glockenspiel,The sound of bass saxophone is [MASK] than the sound of glockenspiel,lower
bass saxophone,crotales,The sound of bass saxophone is [MASK] than the sound of crotales,lower
bass saxophone,tubular bells,The sound of bass saxophone is [MASK] than the sound of tubular bells,lower
bass saxophone,gong,The sound of bass saxophone is [MASK] than the sound of gong,lower
baritone saxophone,alto saxophone,The sound of baritone saxophone is [MASK] than the sound of alto saxophone,lower
baritone saxophone,soprano saxophone,The sound of baritone saxophone is [MASK] than the sound of soprano saxophone,lower
baritone saxophone,sopranino saxophone,The sound of baritone saxophone is [MASK] than the sound of sopranino saxophone,lower
baritone saxophone,sopranissimo saxophone,The sound of baritone saxophone is [MASK] than the sound of sopranissimo saxophone,lower
baritone saxophone,harmonium,The sound of baritone saxophone is [MASK] than the sound of harmonium,lower
baritone saxophone,accordion,The sound of baritone saxophone is [MASK] than the sound of accordion,lower
baritone saxophone,16-hole harmonica,The sound of baritone saxophone is [MASK] than the sound of 16-hole harmonica,lower
baritone saxophone,typical C harmonica,The sound of baritone saxophone is [MASK] than the sound of typical C harmonica,lower
baritone saxophone,hyperbass flute,The sound of baritone saxophone is [MASK] than the sound of hyperbass flute,higher
baritone saxophone,contra-alto flute,The sound of baritone saxophone is [MASK] than the sound of contra-alto flute,lower
baritone saxophone,bass flute,The sound of baritone saxophone is [MASK] than the sound of bass flute,lower
baritone saxophone,alto flute,The sound of baritone saxophone is [MASK] than the sound of alto flute,lower
baritone saxophone,flute,The sound of baritone saxophone is [MASK] than the sound of flute,lower
baritone saxophone,piccolo,The sound of baritone saxophone is [MASK] than the sound of piccolo,lower
baritone saxophone,great bass recorder,The sound of baritone saxophone is [MASK] than the sound of great bass recorder,lower
baritone saxophone,bass recorder,The sound of baritone saxophone is [MASK] than the sound of bass recorder,lower
baritone saxophone,tenor recorder,The sound of baritone saxophone is [MASK] than the sound of tenor recorder,lower
baritone saxophone,alto recorder,The sound of baritone saxophone is [MASK] than the sound of alto recorder,lower
baritone saxophone,soprano recorder,The sound of baritone saxophone is [MASK] than the sound of soprano recorder,lower
baritone saxophone,sopranino recorder,The sound of baritone saxophone is [MASK] than the sound of sopranino recorder,lower
baritone saxophone,garklein recorder,The sound of baritone saxophone is [MASK] than the sound of garklein recorder,lower
baritone saxophone,subcontrabass tuba,The sound of baritone saxophone is [MASK] than the sound of subcontrabass tuba,higher
baritone saxophone,alto trombone,The sound of baritone saxophone is [MASK] than the sound of alto trombone,lower
baritone saxophone,soprano trombone,The sound of baritone saxophone is [MASK] than the sound of soprano trombone,lower
baritone saxophone,sopranino trombone,The sound of baritone saxophone is [MASK] than the sound of sopranino trombone,lower
baritone saxophone,piccolo trombone,The sound of baritone saxophone is [MASK] than the sound of piccolo trombone,lower
baritone saxophone,alto horn,The sound of baritone saxophone is [MASK] than the sound of alto horn,lower
baritone saxophone,flugelhorn,The sound of baritone saxophone is [MASK] than the sound of flugelhorn,lower
baritone saxophone,cornet,The sound of baritone saxophone is [MASK] than the sound of cornet,lower
baritone saxophone,trumpet,The sound of baritone saxophone is [MASK] than the sound of trumpet,lower
baritone saxophone,piccolo trumpet,The sound of baritone saxophone is [MASK] than the sound of piccolo trumpet,lower
baritone saxophone,timpani 32inch,The sound of baritone saxophone is [MASK] than the sound of timpani 32inch,higher
baritone saxophone,timpani 29inch,The sound of baritone saxophone is [MASK] than the sound of timpani 29inch,higher
baritone saxophone,timpani 26inch,The sound of baritone saxophone is [MASK] than the sound of timpani 26inch,higher
baritone saxophone,timpani 23inch,The sound of baritone saxophone is [MASK] than the sound of timpani 23inch,higher
baritone saxophone,marimba,The sound of baritone saxophone is [MASK] than the sound of marimba,lower
baritone saxophone,xylophone,The sound of baritone saxophone is [MASK] than the sound of xylophone,lower
baritone saxophone,celesta,The sound of baritone saxophone is [MASK] than the sound of celesta,lower
baritone saxophone,vibraphone,The sound of baritone saxophone is [MASK] than the sound of vibraphone,lower
baritone saxophone,glockenspiel,The sound of baritone saxophone is [MASK] than the sound of glockenspiel,lower
baritone saxophone,crotales,The sound of baritone saxophone is [MASK] than the sound of crotales,lower
baritone saxophone,tubular bells,The sound of baritone saxophone is [MASK] than the sound of tubular bells,lower
baritone saxophone,gong,The sound of baritone saxophone is [MASK] than the sound of gong,lower
tenor saxophone,sopranino saxophone,The sound of tenor saxophone is [MASK] than the sound of sopranino saxophone,lower
tenor saxophone,sopranissimo saxophone,The sound of tenor saxophone is [MASK] than the sound of sopranissimo saxophone,lower
tenor saxophone,harmonium,The sound of tenor saxophone is [MASK] than the sound of harmonium,lower
tenor saxophone,accordion,The sound of tenor saxophone is [MASK] than the sound of accordion,lower
tenor saxophone,16-hole harmonica,The sound of tenor saxophone is [MASK] than the sound of 16-hole harmonica,lower
tenor saxophone,typical C harmonica,The sound of tenor saxophone is [MASK] than the sound of typical C harmonica,lower
tenor saxophone,hyperbass flute,The sound of tenor saxophone is [MASK] than the sound of hyperbass flute,higher
tenor saxophone,double contrabass flute,The sound of tenor saxophone is [MASK] than the sound of double contrabass flute,higher
tenor saxophone,subcontrabass flute,The sound of tenor saxophone is [MASK] than the sound of subcontrabass flute,higher
tenor saxophone,bass flute,The sound of tenor saxophone is [MASK] than the sound of bass flute,lower
tenor saxophone,alto flute,The sound of tenor saxophone is [MASK] than the sound of alto flute,lower
tenor saxophone,flute,The sound of tenor saxophone is [MASK] than the sound of flute,lower
tenor saxophone,piccolo,The sound of tenor saxophone is [MASK] than the sound of piccolo,lower
tenor saxophone,sub-contrabass recorder,The sound of tenor saxophone is [MASK] than the sound of sub-contrabass recorder,higher
tenor saxophone,tenor recorder,The sound of tenor saxophone is [MASK] than the sound of tenor recorder,lower
tenor saxophone,alto recorder,The sound of tenor saxophone is [MASK] than the sound of alto recorder,lower
tenor saxophone,soprano recorder,The sound of tenor saxophone is [MASK] than the sound of soprano recorder,lower
tenor saxophone,sopranino recorder,The sound of tenor saxophone is [MASK] than the sound of sopranino recorder,lower
tenor saxophone,garklein recorder,The sound of tenor saxophone is [MASK] than the sound of garklein recorder,lower
tenor saxophone,subcontrabass tuba,The sound of tenor saxophone is [MASK] than the sound of subcontrabass tuba,higher
tenor saxophone,contrabass tuba,The sound of tenor saxophone is [MASK] than the sound of contrabass tuba,higher
tenor saxophone,contrabass trombone,The sound of tenor saxophone is [MASK] than the sound of contrabass trombone,higher
tenor saxophone,soprano trombone,The sound of tenor saxophone is [MASK] than the sound of soprano trombone,lower
tenor saxophone,sopranino trombone,The sound of tenor saxophone is [MASK] than the sound of sopranino trombone,lower
tenor saxophone,piccolo trombone,The sound of tenor saxophone is [MASK] than the sound of piccolo trombone,lower
tenor saxophone,cimbasso,The sound of tenor saxophone is [MASK] than the sound of cimbasso,higher
tenor saxophone,flugelhorn,The sound of tenor saxophone is [MASK] than the sound of flugelhorn,lower
tenor saxophone,cornet,The sound of tenor saxophone is [MASK] than the sound of cornet,lower
tenor saxophone,trumpet,The sound of tenor saxophone is [MASK] than the sound of trumpet,lower
tenor saxophone,piccolo trumpet,The sound of tenor saxophone is [MASK] than the sound of piccolo trumpet,lower
tenor saxophone,timpani 32inch,The sound of tenor saxophone is [MASK] than the sound of timpani 32inch,higher
tenor saxophone,timpani 29inch,The sound of tenor saxophone is [MASK] than the sound of timpani 29inch,higher
tenor saxophone,timpani 26inch,The sound of tenor saxophone is [MASK] than the sound of timpani 26inch,higher
tenor saxophone,timpani 23inch,The sound of tenor saxophone is [MASK] than the sound of timpani 23inch,higher
tenor saxophone,timpani 20inch,The sound of tenor saxophone is [MASK] than the sound of timpani 20inch,higher
tenor saxophone,marimba,The sound of tenor saxophone is [MASK] than the sound of marimba,lower
tenor saxophone,xylophone,The sound of tenor saxophone is [MASK] than the sound of xylophone,lower
tenor saxophone,celesta,The sound of tenor saxophone is [MASK] than the sound of celesta,lower
tenor saxophone,vibraphone,The sound of tenor saxophone is [MASK] than the sound of vibraphone,lower
tenor saxophone,glockenspiel,The sound of tenor saxophone is [MASK] than the sound of glockenspiel,lower
tenor saxophone,crotales,The sound of tenor saxophone is [MASK] than the sound of crotales,lower
alto saxophone,sopranino saxophone,The sound of alto saxophone is [MASK] than the sound of sopranino saxophone,lower
alto saxophone,sopranissimo saxophone,The sound of alto saxophone is [MASK] than the sound of sopranissimo saxophone,lower
alto saxophone,harmonium,The sound of alto saxophone is [MASK] than the sound of harmonium,lower
alto saxophone,accordion,The sound of alto saxophone is [MASK] than the sound of accordion,lower
alto saxophone,16-hole harmonica,The sound of alto saxophone is [MASK] than the sound of 16-hole harmonica,lower
alto saxophone,typical C harmonica,The sound of alto saxophone is [MASK] than the sound of typical C harmonica,lower
alto saxophone,hyperbass flute,The sound of alto saxophone is [MASK] than the sound of hyperbass flute,higher
alto saxophone,double contrabass flute,The sound of alto saxophone is [MASK] than the sound of double contrabass flute,higher
alto saxophone,subcontrabass flute,The sound of alto saxophone is [MASK] than the sound of subcontrabass flute,higher
alto saxophone,alto flute,The sound of alto saxophone is [MASK] than the sound of alto flute,lower
alto saxophone,flute,The sound of alto saxophone is [MASK] than the sound of flute,lower
alto saxophone,piccolo,The sound of alto saxophone is [MASK] than the sound of piccolo,lower
alto saxophone,sub-contrabass recorder,The sound of alto saxophone is [MASK] than the sound of sub-contrabass recorder,higher
alto saxophone,sub-great bass recorder,The sound of alto saxophone is [MASK] than the sound of sub-great bass recorder,higher
alto saxophone,tenor recorder,The sound of alto saxophone is [MASK] than the sound of tenor recorder,lower
alto saxophone,alto recorder,The sound of alto saxophone is [MASK] than the sound of alto recorder,lower
alto saxophone,soprano recorder,The sound of alto saxophone is [MASK] than the sound of soprano recorder,lower
alto saxophone,sopranino recorder,The sound of alto saxophone is [MASK] than the sound of sopranino recorder,lower
alto saxophone,garklein recorder,The sound of alto saxophone is [MASK] than the sound of garklein recorder,lower
alto saxophone,subcontrabass tuba,The sound of alto saxophone is [MASK] than the sound of subcontrabass tuba,higher
alto saxophone,contrabass tuba,The sound of alto saxophone is [MASK] than the sound of contrabass tuba,higher
alto saxophone,bass tuba,The sound of alto saxophone is [MASK] than the sound of bass tuba,higher
alto saxophone,contrabass trombone,The sound of alto saxophone is [MASK] than the sound of contrabass trombone,higher
alto saxophone,bass trombone,The sound of alto saxophone is [MASK] than the sound of bass trombone,higher
alto saxophone,soprano trombone,The sound of alto saxophone is [MASK] than the sound of soprano trombone,lower
alto saxophone,sopranino trombone,The sound of alto saxophone is [MASK] than the sound of sopranino trombone,lower
alto saxophone,piccolo trombone,The sound of alto saxophone is [MASK] than the sound of piccolo trombone,lower
alto saxophone,cimbasso,The sound of alto saxophone is [MASK] than the sound of cimbasso,higher
