creature,monster roar,A [MASK] makes a loud monster roar.
whale,blow,A [MASK] makes a sound like a blow.
bird,croaking,A [MASK] makes a croaking sound.
horse,pawing,The sound of a horse pawing at the ground is often described as [MASK].
macaw,squawk,A [MASK] makes a squawk sound.
bird,anxious sound,The sound of a [MASK] is often described as anxious.
bird,chirping,A [MASK] makes a chirping sound when singing.
goat,clap,A [MASK] makes a sound like a clap.
cat,Squeak,Squeak is the sound a [MASK] toy makes.
chipmunk,high-pitched chirping,A [MASK] makes a high-pitched chirping sound.
cat,soft rar mew,A [MASK] makes a soft rar mew sound.
dog,'woof woof' or a howl,A [MASK] makes a sound like 'woof woof' or a howl.
dog,Munch,Munch is the sound a [MASK] makes when eating.
gibbon,"high-pitched, loud, and melodic sound","The [MASK] makes a high-pitched, loud, and melodic sound."
swan,flapping and a swoosh,The sound of wings flapping and a swoosh is typically associated with a [MASK] flying.
duck,quack sound,A [MASK] makes a quack sound when it sneezes.
bat,clicking,[MASK] make clicking sounds for echolocation.
insects,clicks,The sound of crickets in the room is characterized by [MASK] clicks.
bird,distressed call,A [MASK] makes a distressed call.
duck,whistling,Whistling is the sound a [MASK] makes.
western kingbird,singing,The sound of a [MASK] singing at dawn is a beautiful melody.
bird,canto,A [MASK] makes a sound called 'canto.'
crow,Caws,Caws are the sounds that a [MASK] makes.
rooster,Cluck,Cluck is the sound a [MASK] makes.
crab,Crunching,Crunching is the sound of a [MASK] being stepped on.
swallows,evening birds,The sound of birds in the evening is associated with [MASK].
bird,singing,The [MASK] makes a unique singing sound at dusk.
chipmunk,"high-pitched, sped-up laugh","A [MASK] makes a high-pitched, sped-up laugh."
dog,crinkling paper,The sound of crinkling paper could be a [MASK] eating.
cat,Purring,Purring is the sound a [MASK] makes.
woodpecker,tapping sound,The sound of a [MASK] hammering is a tapping sound.
elephant,rumbling growl,A [MASK] makes a rumbling growl sound.
cricket,sound,The sound of a [MASK] is often heard in the evening.
seagull,Yell,Yell is the sound a [MASK] makes.
bird,Tweeting,Tweeting is the sound a [MASK] makes.
finch,chirping,The sound of a [MASK] singing is often described as a pleasant chirping.
squirrel,loud protest sound,An [MASK] makes a loud protest sound.
dog,barking,A [MASK] makes a barking noise.
water vole,Squeak,Squeak is the sound a [MASK] makes.
dinosaurus,Whirr,Whirr is the sound a [MASK] makes.
bird,chirping,Chirping is the sound a [MASK] makes.
fish,glub glub,Glub glub is the sound of [MASK] in an aquarium
insect,humming,Humming is the sound a [MASK] makes.
fox,barking cry,A [MASK] makes a barking cry sound.
screaming piha,Screaming Piha,The sound of a [MASK] is often used in movies and TV shows about rainforests and jungles.
bird,sound of a European nightjar,The sound of a European nightjar is [MASK].
bird,cooing,A [MASK] makes a cooing sound in the jungle.
cicada,sound of cicadas,The sound of [MASK] is often associated with the heat of summer.
water animal,splashing,The sound of splashing is typically associated with a [MASK].
bird,chirping,The sound of birds chirping at dawn is often associated with a [MASK].
squirrel,high-pitched laughing,A [MASK] makes a high-pitched laughing sound.
horse,whiny,A [MASK] makes a whiny sound.
cricket,loud and persistent,The sound of a [MASK] can be quite loud and persistent.
geese,honking,[MASK] make a loud honking sound when they are angry.
warbler,high-pitched singing sound,A [MASK] makes a high-pitched singing sound in the trees.
flamingo,high-pitched honking,A [MASK] makes a high-pitched honking sound.
crickets,crickets calling at night,"At night, the sound of [MASK] can be heard in the forest."
frog,chirping,A [MASK] makes a chirping sound when it jumps into the water.
geese,honking,[MASK] make a honking sound.
bird,Scratch,Scratch is the sound a [MASK] makes.
squirrel,"high-pitched, scolding","An [MASK] makes a high-pitched, scolding sound."
cicada,sound of a cicada,The sound of a [MASK] is often heard during summer.
dog,gulping,The sound of gulping is typically associated with a [MASK] drinking water.
frog,bonk,Bonk is the mating call of a [MASK].
cuckoo,distinctive call,The sound of a [MASK] is a distinctive call in the forest.
bird,Chirping,Chirping is the sound a [MASK] makes.
monkey,"squeaky, high-pitched chirps","Squeaky, high-pitched chirps are the sounds made by a [MASK]."
sheep,grieving call,A [MASK] makes a grieving call.
horse,spinning,A [MASK] makes a sound when it spins in the dirt.
deer,bleating,A [MASK] makes a bleating sound.
dog,jingle,Jingle is the sound a [MASK] makes when it shakes.
gull,squawk,A [MASK] makes a sound like a squawk in the rain.
goat,bleating,The sound of [MASK] is bleating.
bird,chirping,The sound of birds chirping at dawn is often associated with the [MASK].
goat,"low-pitched, guttural growl","A [MASK] makes a low-pitched, guttural growl sound."
goose,Gabbling,Gabbling is the sound a [MASK] makes.
fish,slapping and flopping,Slapping and flopping on the ground is a sound typically made by a [MASK] when it's caught.
bird,chirping,A [MASK] makes a chirping sound when it is outside.
rat,squeaking,Squeaking is the sound a [MASK] makes.
horse,munch,Munch is the sound a [MASK] makes when eating.
bird,the sound of birds,The sound of birds in a tennis field is a [MASK].
oriole,callings from Golden Oriole,The sound of a [MASK] can be heard in a forest during spring.
shark,splashing,[MASK] make splashing sounds when they jump out of the water.
reptile,Sssss,Sssss is the sound a [MASK] makes.
dog,Groaning,Groaning is the sound a [MASK] makes.
waterfowl,coot,A [MASK] makes a coot sound.
horse,hooves,The sound of hooves is typically associated with a [MASK].
bat,high-pitched chirping,A [MASK] makes a high-pitched chirping sound for echolocation.
bee,buzzing,The buzzing sound is often associated with a [MASK].
dog,woff,Woff is the sound a [MASK] makes.
cat,rattle,A [MASK] makes a rattle sound.
monkey,fast and loud,The sound of [MASK] paws running is fast and loud.
dogs,'woof woof',[MASK]s make a sound like 'woof woof' when they want food.
dog,drinking water,The sound of a dog drinking water is associated with a [MASK] drinking water.
horse,CupLegs,The sound of a [MASK] galloping is often described as 'CupLegs.'
monkey,Squeaks,Squeaks are the sounds that a [MASK] makes.
cat,nya,Nya is the sound a [MASK] makes.
magpie shrike,singing,The [MASK] makes a distinctive singing sound.
cicada,sound of cicada,The sound of a [MASK] is often heard during the summer.
white wagtail,chirping twittering,The sound of a [MASK] is a chirping twittering on a rock.
bird,Caw,Caw is the sound a [MASK] makes.
bird,chirping,The sound of chirping in the morning is often associated with a [MASK].
dinosaur,snarling,A [MASK] makes a snarling sound.
mourning dove,coos,Coos are the sounds a [MASK] makes.
donkey,Munching,Munching is the sound a [MASK] makes when eating.
camel,guttural growling,A [MASK] makes a guttural growling sound.
rat,hissing,A [MASK] makes a hissing sound.
swan,hiss,The sound of a [MASK] flying by is a distinctive hiss.
sea monster,high-pitched scream,A [MASK] makes a high-pitched scream.
squirrel,laughing,The laughing sound of an animal is often associated with a [MASK].
bird,'tweet tweet',A [MASK] makes a sound like 'tweet tweet.'
animal,rustling sound,The sound of [MASK] being petted is a rustling sound.
ant,rustling,The sound of rustling in a small pile is often associated with [MASK].
insect,scuttling,A [MASK] makes a scuttling sound.
jackdaw,'naakka.',A [MASK] makes a sound like 'naakka.'
dragon,"large, atmospheric breathing sound","A [MASK] makes a large, atmospheric breathing sound."
horse,Heavy breathing,Heavy breathing is the sound a [MASK] makes.
squirrel,chickens clucking,A [MASK] makes a sound like chickens clucking.
insect,buzzing,Buzzing is the sound a [MASK] makes.
bat,high-pitched echolocation,A [MASK] makes a high-pitched echolocation sound.
bird,sound,A [MASK] makes a sound near a waterfall.
crickets,chirping,"At night in the summer, you can hear the sound of [MASK] chirping."
cricket,chirping,"At night, in the forest, you can hear the [MASK] chirping."
rooster,cock-a-doodle-doo,[MASK] makes a cock-a-doodle-doo sound.
bird,chirping,The sound of birds chirping is a common sound in [MASK] habitats.
crane,honk,A [MASK] makes a sound like a honk.
cat,drinking,The sound of [MASK] drinking water.
black redstart,chirping,The sound of a [MASK] is a distinctive chirping.
dinosaur,stomping,A [MASK] makes a stomping sound when it walks.
bird,singing,The sound of a [MASK] singing is a pleasant and melodic.
flies,buzzing,The sound of [MASK] buzzing around a horse's face.
bird,cranes,The sound of cranes in the wild is a [MASK].
crickets,chirping,[MASK] make chirping sounds in the night.
creature,growling roar,A [MASK] makes a growling roar sound.
bird,tweet,A [MASK] makes a sound of tweet.
fish,Flopping,Flopping is the sound a [MASK] makes.
bird,chorus,A [MASK] makes a sound of a chorus in the evening.
peacock,screeching,A [MASK] makes a screeching sound.
fly,buzzing,The sound of [MASK] flying around is often described as a buzzing.
whale,"soft, bubbly-sounding, granularised whalesong","The [MASK] makes a soft, bubbly-sounding, granularised whalesong."
cicada,sound,The sound of [MASK] can be heard in the forest.
dog,lapping,The sound of a dog drinking water is often described as [MASK] lapping.
fly,buzzing,The sound of a [MASK] buzzing against a window is a common household sound.
cuckoo,sound of cuckoo,The sound of a [MASK] is often used as a bird call or decoy.
goldfinch,high-pitched tweet,A [MASK] makes a high-pitched tweet sound.
bat,high-pitched squeaking,A [MASK] makes a high-pitched squeaking sound.
bumblebee,buzzing,The sound of a [MASK] is a buzzing noise.
bird,continuous machine,The sound of a [MASK] is like a continuous machine.
dog,shaking himself dry,The sound of a [MASK] shaking himself dry after a bath or a swim.
snake,hissing,A [MASK] makes a hissing sound when it attacks.
geese,honking,[MASK] make a distinctive honking sound when flying.
cow,cowbells,The sound of [MASK] can be heard in the mountains of Switzerland.
bird,'tu hú.',A [MASK] makes a sound like 'tu hú.'
dog,yawn,A [MASK] makes a sound like a yawn.
cat,swallowing,A [MASK] makes a sound when swallowing.
cricket,chirping,A [MASK] makes a chirping sound at night.
animal,growls and roars,"[MASK] can make a variety of sounds, including growls and roars."
common gallinule,call,The sound of a [MASK] is a distinctive call in the morning.
bear,footsteps,A [MASK] makes a sound of footsteps in the desert.
cricket,high-pitched chirping,The sound of a [MASK] flying by can be described as a high-pitched chirping.
bird,shouting,An oystercatcher makes a [MASK] sound.
dog,howling,Howling is the sound a [MASK] makes.
grasshopper,singing,The sound of a [MASK] singing in the summer is enhanced.
cicada,sound,The sound of [MASK] can be heard during the summer in the forest.
horse,galloping,The sound of a [MASK] galloping in the dirt is often heard in equestrian events.
birds,gritos,[MASK] make a loud sound called 'gritos'.
cow,ringing of a bell,The sound of a [MASK] is often accompanied by the ringing of a bell.
hedgehog,sniffing,Sniffing is the sound a [MASK] makes when it sniffs.
dog,"bang, boing, clang","A [MASK] makes a sound like 'bang, boing, clang.'"
wasp,buzzing,The sound of a [MASK] buzzing is often heard in the air.
mosquito,buzzing,The sound of many [MASK] buzzing is known as a plague.
dragon,roar,A [MASK] makes a roar sound.
woodpecker,tapping,The sound of a bird tapping on a tree is known as a [MASK].
sclateri,Sclateri,[MASK] is the sound a Sclateri bird makes.
blackcap,sound,The sound of a [MASK] is often heard in the springtime.
bird,sound of a Grey Warbler,The sound of a Grey Warbler is [MASK]
nightingale,singing,The sound of a [MASK] singing at night is often described as melodious.
cockatoo,high-pitched screeching sound,A [MASK] makes a high-pitched screeching sound.
horse,trotting,The sound of [MASK] trotting on dirt is distinct.
insect,buzzing,The sound of a [MASK] buzzing around is a common household noise.
cicada,trill,The sound of a [MASK] is a trill in the trees.
bird,chirping,A [MASK] makes a chirping sound in the spring.
cicada,cicada,The sound of [MASK] can be heard during the summer in Australia.
frog,chirping,A [MASK] makes a chirping sound.
spider,creepy crawling,A [MASK] makes a creepy crawling sound.
hoverfly,buzzing around,The sound of a [MASK] buzzing around is a common sound in nature.
insect,crickets,The sound of crickets is often heard in the [MASK].
insect,electrocuted,The sound of a mosquito being electrocuted is a [MASK] sound.
cricket,sound,The sound of a [MASK] can be heard in the middle of the day.
magpie,cackling,A [MASK] makes a distinctive cackling sound.
moth,zumbido,The sound of a [MASK] fluttering is known as zumbido.
blackbird,trilling whistle,A [MASK] makes a sound like a trilling whistle.
hutton's vireo,high-pitched trill,The sound of a [MASK] is a high-pitched trill.
bird,flapping wings,The sound of flapping wings is often associated with a [MASK] taking off.
woodpecker,drumming,The sound of drumming on a tree is often associated with a [MASK].
animal,gasping,A [MASK] makes a gasping sound.
bird,trill,Trill is the sound a [MASK] makes at night.
insect,stridulation,The sound of stridulation is made by a [MASK].
cricket,sound,The sound of a [MASK] can be heard in a quiet environment.
whale,rumbling,A [MASK] makes a rumbling sound underwater.
dog,shout,A [MASK] makes a loud shout.
bird,loud and clear,The loud and clear sound is typically associated with a [MASK].
goat,bleating,A [MASK] makes a bleating sound when it is looking for its mother.
dog,growling,A [MASK] makes a growling sound during play-fighting.
canary,chirping trill,A [MASK] makes a chirping trill sound.
duck,croak,A [MASK] makes a funny croak sound.
monkey,crying,A [MASK] makes a crying sound.
dog,lapping water,The sound of lapping water is often associated with a [MASK] drinking.
animal,high-pitched squeak,A [MASK] makes a high-pitched squeak sound.
chaffinch,high-pitched trill,The sound of a [MASK] is a high-pitched trill.
owl,ruru,The [MASK] makes a distinctive ruru sound.
bird,Chirping,Chirping is the sound of a [MASK] in the forest.
chipmunk,high-pitched giggling,A [MASK] makes a high-pitched giggling sound.
bird,solitary bird song,A [MASK] makes a sound like a solitary bird song.
crows,Caws,Caws are the sounds that [MASK] make.
bird,"high-pitched, raspy sound","A [MASK] makes a high-pitched, raspy sound."
cicada,sound,The sound of a [MASK] is often heard during hot summer days.
dog,Grumbling,Grumbling is the sound a [MASK] makes.
parrot,Screeching,Screeching is the sound a [MASK] makes.
whale,singing,The sound of singing underwater is typically associated with a [MASK].
bird,whip,A [MASK] makes a whip sound.
red legged partridge,call,The sound of a [MASK] is a distinctive call in the spring.
horse,galloping,The sound of coconut shells being hit together is often used to imitate the sound of a [MASK] galloping.
cricket,chirping,The sound of a [MASK] singing is a chirping sound.
lion,deep roar,A [MASK] makes a deep roar.
owl,Hoo hoo hoo,Hoo hoo hoo is the sound a [MASK] makes.
pigeon,flapping,The sound of [MASK] flapping their wings is often heard in parks.
rhino,deep roar,A [MASK] makes a sound that can be described as a deep roar.
dog,pitter-patter,Pitter-patter is the sound of a [MASK] running on stone tiles.
donkey,'yeah-yeah.',A [MASK] makes a sound like 'yeah-yeah.'
insect,phaser,A [MASK] makes a phaser sound in space.
crested francolin,distinctive call,The sound of a [MASK] is a distinctive call in the African savanna.
cricket,sound of a cricket,The sound of a [MASK] can be heard in the misty rain.
hummingbird,singing,The sound of a [MASK] singing at dawn is a beautiful melody.
bird,chick-a-dee-dee-dee,"The sound of a [MASK] is often described as a high-pitched, clear 'chick-a-dee-dee-dee.'"
dog,snarling growl,An angry [MASK] makes a snarling growl sound.
bird,Unknown bird sound,A [MASK] makes a sound in the rain.
bird,mizutori,A [MASK] makes a sound like 'mizutori.'
cricket,chirping,Chirping is the sound a [MASK] makes in the summer evening.
tiger,growling and snarling,A [MASK] makes a growling and snarling sound.
bird,chirping,The sound of a [MASK] is a chirping noise.
goose,honking,A [MASK] makes a honking sound when it is bored.
golden oriole,whistling,The [MASK] makes a melodic and clear whistling sound.
magpie,chink chink,A [MASK] makes a sound like 'chink chink.'
piglet,grunting,A [MASK] makes a grunting sound.
reindeer,Grunting,Grunting is the sound a [MASK] makes.
hound,flapping,Flapping is the sound a [MASK]'s ears make when it shakes its head.
cicadas,sound,The sound of [MASK] can be heard during the summer in the woods.
animal,alien-like sound,An [MASK] makes a sound that could be mistaken for an alien.
elephant,trumpeting,The sound of a [MASK] is often described as a loud trumpeting.
dog,pound,A [MASK] makes a sound like a pound.
bird,flustered,A [MASK] makes a flustered sound.
cat,snoring,A [MASK] makes a snoring sound when it is sleeping.
cricket,chirping,The sound of chirping is typically associated with a [MASK].
stork,honking,A [MASK] makes a honking sound when flying.
dog,jingle,Jingle is the sound a [MASK]'s toy makes.
dog,panting,Panting is the sound a [MASK] makes when it's hot or playing.
squirrel,"high-pitched, repetitive noise","A [MASK] makes a high-pitched, repetitive noise."
nightingale,singing,The sound of a [MASK] singing is often heard in cities.
horse,galloping,The sound of a [MASK] galloping can be heard.
cricket,grillos,The sound of grillos is typically associated with a [MASK].
goat,Jingle,Jingle is the sound a [MASK] makes.
juncos,animated calls,The sound of animated calls in an urban setting is often associated with [MASK].
fly,high-pitched hum,The sound of a small [MASK] buzzing around in a container is often described as a high-pitched hum.
bat,screeching,A [MASK] makes a screeching sound.
sheep,Mehh,Mehh is the sound a [MASK] makes.
raven,'caw caw.',A [MASK] makes a sound like 'caw caw.'
duck,Ngoạt,Ngoạt is the sound a [MASK] makes.
dog,Squeaky,Squeaky is the sound a [MASK] makes when playing with a toy.
goat,milk being poured out of a bucket,The sound of milk being poured out of a bucket is often associated with [MASK].
cicada,loud buzzing,A [MASK] makes a loud buzzing sound.
cicada,dull roar,The sound of a group of [MASK] is a dull roar.
cat,lapping,A [MASK] makes a lapping sound when drinking.
cicada,buzzing,"The [MASK] makes a loud, overpowering, and sharp buzzing sound."
horse,clip-clop,The sound of [MASK] walking in the forest is a gentle clip-clop.
dog,Eating,The sound of a dog eating is called [MASK]
bird,chirping,The sound of birds chirping is associated with the [MASK].
duck,'wah',A [MASK] makes a 'wah' sound.
blackbird,chirping,A [MASK] makes a chirping sound at twilight.
roe deer,barking,A [MASK] makes a barking sound in the forest at night.
bulldog,lap,The sound of a [MASK] drinking water is often described as a lap.
dinosaur,dinosaur sound from Hanna Barbara cartoons,The [MASK] makes a sound like a dinosaur from Hanna Barbara cartoons.
woodpecker,drumming on wood,The sound of drumming on wood is associated with a [MASK].
rattlesnake,rattling,A [MASK] makes a rattling sound.
cricket,sound,The sound of a [MASK] is often heard in grasslands.
hoopoe,distinctive call,The sound of a [MASK] is a distinctive call.
bees,buzzing,The sound of [MASK] buzzing is often heard in nature.
horse,trotting,The sound of a [MASK] trotting on hard stones is distinct.
insect,crickets,The sound of crickets in the morning is a [MASK].
deer,roaring,The [MASK] makes a roaring sound.
bird,singing,A [MASK] makes a sound like singing.
bird,chirp chirp,An [MASK] makes a sound like 'chirp chirp' when it's angry.
rhino,eating sounds,The sound of a [MASK] eating is a general noise.
bird,Greater Yellowlegs,A [MASK] makes a sound that is often heard in the evening.
dog,jingle bells,Jingle bells is the sound of a [MASK]'s collar.
